id,user_id,title,description,sti_type,is_public,publication_date
38,1,"Stipendi, Agnelli batte Lotito","Consiglieri di amministrazione della Lazio senza paga. Nei bianconeri 1,65 milioni a Marotta e 200 mila euro a Nedved",Image,f,
39,18,Milan-Inter: c'è Valeri.,Ecco le designazioni per le sfide della settima di Serie A: per Inter-Milan scelto Valeri. Pescara-Lazio a De Marco mentre Roma-Atalanta è stata affidata a Banti,Image,f,
40,1,mazzoleni ha alzato la coppa!,"c'è tanta gente che ruba senza pagare, almeno voi in questo siete da esempio: a fine mese saldate sempre e comunque il conto e va detto che tutto ciò vi fa onore!! Ecco lo stile juve!! Lo sport e non solo prenda esempio da voi!!",Image,f,
41,18,Due turni a Gastaldello,Il giudice sportivo ha squalificato per due giornate Daniele Gastaldello (Sampdoria) che era stata espulso durante la partita con il Napoli. Guastaldello era stato espulso dopo essere stato ammonito per comportamento scorretto nei confronti di u,Image,t,2013-03-18 14:01:18.851006
42,1,Risultato Juve-Roma,Come finirà la sfida dello Juventus Stadium? Quale sarà il punteggio finale? Chi segnerà? Ditecelo con un semplice commento!,Image,t,2013-03-18 14:01:17.851006
43,18,Cagliari-Pescara aperta al pubblico,Via libera ufficiale della Commissione provinciale di vigilanza per l'apertura al pubblico dello stadio Is Arenas di Quartu. Domenica gli abbonati del club sardo potranno assistere alla sfida di Serie A,Image,t,2013-03-18 14:01:16.851006
44,1,Zeman? Niente appello ai tifosi,L'esterno del Barcellona ricorderà a lungo martedì 9 ottobre: esattamente dopo 223 giorni ha toccato un...,Image,t,2013-03-18 14:01:15.851006
45,18,"Messi e Ronaldo, marziani al Camp","Hanno realizzato una doppietta a testa in quella che in questo momento è forse la più bella, spettacolare e avvincente partita che il mondo del calcio",Image,t,2013-03-18 14:01:14.851006
46,1,Aguero e la perdita dell'innocenza,L'attaccante del City attacca gli arbitri: «Hanno un occhio di riguardo per i giocatori inglesi»,Image,t,2013-03-18 14:01:13.851006
47,18,"Zamparini, l'ultimo teatro","Il presidente del Palermo possiede tanta immaginazione, e sembra che aumenti proporzionalmente al numero di sconfitte che la sua squadra incamera",Image,t,2013-03-18 14:01:12.851006
48,1,Ronaldo parteciperà ad un reality,"Colui che per tutti era il Fenomeno è comparso in un programma di Rede Globo, la più grande e potente emittente del Paese e ha cominciato una dieta pubblica. Periodicamente ricomparirà in video per le misurazioni del caso",Image,t,2013-03-18 14:01:11.851006
49,18,Il momento in cui i talenti cadono,"Narciso si innamorò della sua immagine riflessa e prendendo atto dell'impossibilità del rapporto amoroso, si lasciò morire, perché mai le stesse pulsioni dovrebbero essere assenti in chi sa bene di essere, nel suo campo, il migliore?",Image,t,2013-03-18 14:01:10.851006
50,1,Sheva ora è un traditore venduto,L'ex attacccante del Milan ha fondato un movimento: ma i tifosi che lo adoravano ora lo accusano di amoreggiare con il partito al potere,Image,t,2013-03-18 14:01:09.851006
51,18,年改編做真人戲,成為澳大利亞聯邦。自此澳洲一直喺英聯邦之內，以英國王室為國家元首,Image,t,2013-03-18 14:01:08.851006
52,1,澳洲,Australia in cinese,Audio,f,
53,18,澳大利亞被劃分為六個省,中途島（美） - 強斯頓環礁（美） - 鳳凰群島北部嘅豪蘭島同貝克島（美）,Audio,t,2013-03-18 14:01:07.851006
54,1,可可斯,維基百科，未有呢版。要開新版,Audio,t,2013-03-18 14:01:06.851006
55,18,喺下面大格寫,你重未簽到。你修改之後，呢版嘅修改紀綠，會記住你互聯網址,Audio,t,2013-03-18 14:01:05.851006
56,1,純粹想試下編輯功,要開新版，喺下面大格寫。寫咗之後，預覧完先至記低,Audio,t,2013-03-18 14:01:04.851006
57,18,六個省,喺討論頁上簽名係套維基百科簽名嘅說明、指引,Audio,t,2013-03-18 14:01:03.851006
58,1,翻譯請求,你想佢變做廣府話之後叫做咩名,Audio,f,
59,18,你翻譯,若果你覺得你自己搞得掂,Audio,t,2013-03-18 14:01:02.851006
60,1,維基百科你唔知嘅十件事,如果你等緊維基百科，畀隔籬嘅網絡巨人收購，你就唔使等喇。維基百科，並非商業網站,Audio,t,2013-03-18 14:01:01.851006
61,18,我哋冇要求你信我哋,我哋冇要求你信我哋我哋冇要求你信我哋,Audio,t,2013-03-18 14:01:00.851006
62,1,基百科,基百科基百科基百科基百科基百科 基百科基百科,Audio,t,2013-03-18 14:00:59.851006
63,18,維基百,我哋真係想喺內容方面做到盡善盡美,Audio,t,2013-03-18 14:00:58.851006
64,1,維基百維基百,佢嘅內容永遠都唔變佢嘅內容永遠都唔變,Audio,f,
65,18,睇埋,貢獻者亦都係唔收錢嘅志願者貢獻者亦都係唔收錢嘅志願者,Audio,t,2013-03-18 14:00:57.851006
66,1,我哋唔單只講粵語,你嘅編輯同論點都會根據佢本身優劣受到評判,Audio,t,2013-03-18 14:00:56.851006
67,18,個,個個個 未有呢版,Audio,t,2013-03-18 14:00:55.851006
68,1,自我檢,百科，畀隔籬百科，畀隔籬,Audio,t,2013-03-18 14:00:54.851006
69,18,基百基百,自我檢自我檢自我檢自我檢,Audio,t,2013-03-18 14:00:53.851006
70,1,譯譯,喺討論頁上簽名係套維基百科簽名嘅說明喺討論頁上簽名係套維基百科簽名嘅說明,Audio,t,2013-03-18 14:00:52.851006
